title,description,published date,url,publisher/href,publisher/title
DeepSeek’s new AI model appears to be one of the best ‘open’ challengers yet - TechCrunch,DeepSeek’s new AI model appears to be one of the best ‘open’ challengers yet  TechCrunch,"Thu, 26 Dec 2024 08:00:00 GMT",https://news.google.com/rss/articles/CBMirAFBVV95cUxQZ0M2c3FzSjRFVWpxeFlnajFZSS1sVlk5alNCQ3RKVndTWGg2ME1tSFdFdG5sYlV4RGdxU1ZPalJCQ2Y4RW83T2Y1QTNHanhjc0lJdzlmU29MQXpKaWkzZkIwbnFONjhLQ05PaG9aRUhSTW9UdU9Xdm1jc3pqVmF5Y2o2WWcyQW1LR3NpbFNLY2ZOc2dic0hkU0VqeW9RSEx0M0d6U3R0U0ViSkNj?oc=5&hl=en-GB&gl=GB&ceid=GB:en,https://techcrunch.com,TechCrunch
DeepSeek-V3 shows China's AI getting better — and cheaper - Axios,DeepSeek-V3 shows China's AI getting better — and cheaper  Axios,"Fri, 17 Jan 2025 08:00:00 GMT",https://news.google.com/rss/articles/CBMiZ0FVX3lxTE15dzRrcnNGWTEyZUVyaG1meHVacEpEVFJYbGNneTBvMnRRNUhkU2c5OFRUNnZIcDFoSE5wdHE1QnlEQXdEckZoY3A5Y0lydHctbGFOczJvb05ubkdENEJ4bHNYZDdJTW8?oc=5&hl=en-GB&gl=GB&ceid=GB:en,https://www.axios.com,Axios
China’s AI disrupter DeepSeek bets on ‘young geniuses’ to take on US giants - South China Morning Post,China’s AI disrupter DeepSeek bets on ‘young geniuses’ to take on US giants  South China Morning Post,"Sun, 12 Jan 2025 08:00:00 GMT",https://news.google.com/rss/articles/CBMixgFBVV95cUxON1A3cnFwUG5pQzVvcWtsd0wzSlNEd3pYUXRSS1NJXzA0Q2pnUFJ2R2NBM0R0N2dkQ3g1OFVLWTVfM1gzWVhaeUkyUjh3YjU2WGVHS0NqR004U0xUc3JGQmdoUGFlaktsYllkTkNIMzQtMEttQlpvODEtaUFlWTVlQ0lMeC1wWXMzNlBoQXQtMzdCU0UtZVAxalhsRzBRZzMxRndIek9NYTJadkIyVnpNelAwYlpfOW1ocFFyN3cyTXhOS3BGQXfSAcYBQVVfeXFMTUVYcnI5SG8wcnFzMzkxUnFqT2pvOWd0c3lYRXpFMVJoUDhEcGFTR0VTQjVxRTllQ2RMVHZoYmxzQkRNY1ljcENXNlpONXhsYXJQZDlPS3ZhRWVTenktQWhBWDEzVGtLN2ZwcUVFTGpHVi03Ml9vWUg3eG5lYV82VmZ4VHkwblluc2wyQWx1eWxHQnBWWmhlSk9DZE9OaGFSU1cwZmtGYm90bG15aG8yX3dLcXJCZ0w1WjFxR25RVnBBenFWQlJn?oc=5&hl=en-GB&gl=GB&ceid=GB:en,https://www.scmp.com,South China Morning Post
China’s DeepSeek Shows Why Trump’s Trade War Will Be Hard to Win - Bloomberg.com,China’s DeepSeek Shows Why Trump’s Trade War Will Be Hard to Win  Bloomberg.com,"Thu, 09 Jan 2025 08:00:00 GMT",https://news.google.com/rss/articles/CBMivgFBVV95cUxQcG52RDRmTjhpaGllazhFSUFtZWpod3VKa0VXZWFBMkk4eEpjZWIwZjZMX1E2TTM4QU45LXExcWdVa2NCNGN5SXJLX2c4NTZxX3VIejU0clB4bURuS1Noa1lIaC1wbkhhWUFjajJ2YU1HN3QtVW1NQUU3THppajBjSXlGRERCMXJsN0doTXpWWmZSVGNqWXNQNm1semEtSGEwNlR0NjRvRl9ZYk92LWs5bURpWVIyTVZtNlhRLV9n?oc=5&hl=en-GB&gl=GB&ceid=GB:en,https://www.bloomberg.com,Bloomberg.com
DeepSeek-V3 Achieves Frontier AI Performance at a Fraction of the Cost - Maginative,DeepSeek-V3 Achieves Frontier AI Performance at a Fraction of the Cost  Maginative,"Fri, 27 Dec 2024 08:00:00 GMT",https://news.google.com/rss/articles/CBMiqgFBVV95cUxQdGc0aG82dkV6RXR1Ty1kaWhVTUVPbWpudDBlc21nSUowUE5KV2RmVVVXMmFOQWR1ZWFNQXVXYzN0ekxPSWpYLVNfbDR2aXVfNWtXTHB3Z3MyaVNoZ1R4bmxCUlV4bUJSTnRvVU1GY0dHR0hLWTBnV3FCWVZFWDdnalBMTHBuZGNtbVNVMTJYZkdOLTkxQmlTRlZvb1R0aC15ZU02WDBpeDNldw?oc=5&hl=en-GB&gl=GB&ceid=GB:en,https://www.maginative.com,Maginative
How DeepSeek Cracked the Cost Barrier with $5.6M - Unite.AI,How DeepSeek Cracked the Cost Barrier with $5.6M  Unite.AI,"Mon, 30 Dec 2024 08:00:00 GMT",https://news.google.com/rss/articles/CBMieEFVX3lxTE9oRzRIUnNiUW8ycWhOd1dTQjVKODduLTUwRW41TGJXNVZOUUxSaWVrVDE1bklGWFlFR3R6RzNQNDdZSVEwcFBjYWFwc3Q2a0dIR1ZkOGdvbU42Tjh4eVMwcEVxN0hlYVl3Qk04ajZyTmxmS3p5Z1VpUg?oc=5&hl=en-GB&gl=GB&ceid=GB:en,https://www.unite.ai,Unite.AI
"DeepSeek-V3, ultra-large open-source AI, outperforms Llama and Qwen on launch - VentureBeat","DeepSeek-V3, ultra-large open-source AI, outperforms Llama and Qwen on launch  VentureBeat","Thu, 26 Dec 2024 08:00:00 GMT",https://news.google.com/rss/articles/CBMipgFBVV95cUxQT0xDem9TNUJqWF9hbkVla01MU0NaejFUUzROSF9rWHo2VzBrTEdvelp6aV9SMFNLV290SGUwWUxCR3lwdHU0N2tRMXFnODI2Vkd4Q1VudDlHeWUxR2RfNjVDU1oyWklocGFpNXBmemhhVHh4U3A2ZXBKenJvTHJoTWduSEZZTWtnQ1BRdlVkdUhjTW1tenFoUnR5Ym94T0ltRHhabDF3?oc=5&hl=en-GB&gl=GB&ceid=GB:en,https://venturebeat.com,VentureBeat
"Chinese firm’s faster, cheaper AI language model makes a splash - Science | AAAS","Chinese firm’s faster, cheaper AI language model makes a splash  Science | AAAS","Wed, 15 Jan 2025 08:00:00 GMT",https://news.google.com/rss/articles/CBMiogFBVV95cUxPNnA1Q2ZwS0VjYW1RQm9nYk9vV0VTNVFjdEpKQ3Y5UUVKRmxldDU0eVhRdFAzNVh3OWZibVVmYUdhWG4yTnlmdzVHZFVFY0RhZmdTXzlSYnlQV2JSMVgzZFZtOGZ2eU4tZm9hQWxWZGdYLWN0LW1YMEJGYzNoaWRwVVNYc2V4RzVpejVOQjN2QzE4ZVQtajdWZ0E2T2JFVDBNb1E?oc=5&hl=en-GB&gl=GB&ceid=GB:en,https://www.science.org,Science | AAAS
DeepSeek 3: How China's New AI Is Challenging U.S. Tech Dominance - Worldcrunch,DeepSeek 3: How China's New AI Is Challenging U.S. Tech Dominance  Worldcrunch,"Fri, 03 Jan 2025 08:00:00 GMT",https://news.google.com/rss/articles/CBMigwFBVV95cUxPbDNwS0s3R2NWcHItVldHM0tSVlVlWVljSWUtMmx3bjlZS2FfSmdPRUtwSDFSY2k5eUFwNzczcUNwOTJpSHJhcG0zZnZfZFU1ZVMwSW94QkdHdUVJUXBwVld5MDNuSzBGb1dJamZoeTdhV3pwUExaRjNrTDMyYTFqLXBiSQ?oc=5&hl=en-GB&gl=GB&ceid=GB:en,https://worldcrunch.com,Worldcrunch
Chinese AI company's AI model breakthrough highlights limits of US sanctions - Tom's Hardware,Chinese AI company's AI model breakthrough highlights limits of US sanctions  Tom's Hardware,"Fri, 27 Dec 2024 08:00:00 GMT",https://news.google.com/rss/articles/CBMixwJBVV95cUxQbjV2T1ZhYWdsbmNFdUhKaFV3X3hZTG5DNER3VU9xTFpLT0lvT19OZ2hnZGFEQWxzZzJGcXJXemhmREhwdUpUTVNnbWFYV3lTTTJsTS1TQllXc1JPMzJ6T3g0cVQ4Smp4bzZJQ0hjak9JVmdaTUNjOFFsaXBtc2JVbUkwN1BuRnhsSUlPN2RFalZmQVppQXZsQ1gtQmk4cjBrMnhpQUZ5eHlzc2NJTGZwSUotU2QwMTR5anppeGtub09pbnRKclRKdTlCaVQxY094d0l3Z0dUSmNXbUI1NXkydXlXYW1TN1B3NUZXXzY3X3BXUFVGX0N2R3dsNEFDOWtBaUg1ZmE4SnRpRFFhV19XNEdDT1lJQkgyWm45ZXc3RVh5YXU4NUtiT2gydk90dTJwVWFqS3ZCVjFBLWc5TDdmelZaS3JzMGc?oc=5&hl=en-GB&gl=GB&ceid=GB:en,https://www.tomshardware.com,Tom's Hardware
