title,description,published date,url,publisher/href,publisher/title
"What is DeepSeek AI? (Features, OpenAI Comparison, & More) - Exploding Topics","What is DeepSeek AI? (Features, OpenAI Comparison, & More)  Exploding Topics","Mon, 03 Mar 2025 08:00:00 GMT",https://news.google.com/rss/articles/CBMiV0FVX3lxTE91Qm5xcmJJel9ZdFRFdWg5YUk0UEJDajZRVGdJZVlZUWxhQUxubDFmVG1TNUx5eW5GanZPVDVxRGtxeEZVRHhIQl9GNHd4WmlyX2trcjNiQQ?oc=5&hl=en-GB&gl=GB&ceid=GB:en,https://explodingtopics.com,Exploding Topics
Available today: DeepSeek R1 7B & 14B distilled models for Copilot+ PCs via Azure AI Foundry – further expanding AI on the edge - Windows Blog,Available today: DeepSeek R1 7B & 14B distilled models for Copilot+ PCs via Azure AI Foundry – further expanding AI on the edge  Windows Blog,"Mon, 03 Mar 2025 08:00:00 GMT",https://news.google.com/rss/articles/CBMihwJBVV95cUxNRGNFdUkyZ1p5dkNlRGtRYmlFdWdmWHNmUTU4ckNzMlJTTHM5Y2VFNEpHdTg0bFkyRGhvMkFjREp0V1VDVHR2Z2QybW80VzhYRnJMSm50MTJuMnJ4ZjhQRzJNZkJDeUF0YVNDdTMxdTZhNDRPWDlDOU9GRjQtTVRMVUtFVHlLLUdBbzVORmFyUENOQVZaZkZwUEQzalNUZ0t3aGRtSWNSQTBRUHhlZExRV3lMLVF0eW1Nd1lfc3A4UDV4OE5VTjJQcUdQSmZvN0RaZWZlQnMzbUJfZ0JYcFZpSHFQMTdIOUUzUFJMMC1CWjhHVXIxb3BneHpfVTlsQTgtd0NyODFHbw?oc=5&hl=en-GB&gl=GB&ceid=GB:en,https://blogs.windows.com,Windows Blog
DeepSeek: Everything you need to know about the AI chatbot app - TechCrunch,DeepSeek: Everything you need to know about the AI chatbot app  TechCrunch,"Fri, 07 Mar 2025 16:45:37 GMT",https://news.google.com/rss/articles/CBMinAFBVV95cUxQb0d1TUJkSHJJWUtJb2lUVER4UGRCdW9mMWw3VVdVa3JIU21kYTl0anVTTFVrOWswZDdmUmJ4bVJaYm1VeUx6YmY1MnYxWWw3WEV5Y0hoTC10V3JuREk5cTFJSmdWWUtBSHdJakViMkdnMWg5eGVtU0NfVko5Z01FekN2OTluYTAwQ1h6bTJYZ1ZYcEowQ09MSlpfZG4?oc=5&hl=en-GB&gl=GB&ceid=GB:en,https://techcrunch.com,TechCrunch
Optimize hosting DeepSeek-R1 distilled models with Hugging Face TGI on Amazon SageMaker AI - Amazon Web Services,Optimize hosting DeepSeek-R1 distilled models with Hugging Face TGI on Amazon SageMaker AI  Amazon Web Services,"Thu, 13 Mar 2025 07:00:00 GMT",https://news.google.com/rss/articles/CBMi0wFBVV95cUxNRlFVeGw1dWQwMGl4WXQwRHhvUVM1Tmh2SVVxRG1rOGVGNmJQczRRbkc4WTFKUlNZLXdiam5HN3hYRmJ0SzNCM3FqLXhaSlZLQnhCUGx5dnZkeVQteFJvcGVDUkpCNE1PYTBoaXZqUVJaQnR1SXV2d1Rkb245NlJtMmswOHhHbG5qU2JncmRmNGFTVjFveHFVdDJWbHRRZmRmR0pvYlJRbGRzR3RJSGliOF9OOVV0NWtiU2dCOXp0SlJJazhJQ0NsZXU5TUVQQWtMUW9Z?oc=5&hl=en-GB&gl=GB&ceid=GB:en,https://aws.amazon.com,Amazon Web Services
"US mulling a ban on Chinese app DeepSeek from government devices, source says - Reuters","US mulling a ban on Chinese app DeepSeek from government devices, source says  Reuters","Fri, 07 Mar 2025 08:00:00 GMT",https://news.google.com/rss/articles/CBMisgFBVV95cUxOdE8xUWlkZ3BoSnFBTERESk5XcTBMQ0M4R0laRGhLT0Z2ckdKQzB0UVZ2a0lHZ1pMakU0SkxZNFhmQmcyaGtuZzFBNllkYkplWS11bEJqOVRvbG9vLXBLQjlGdVVaVGJ2NzIyejZZalMwcGJlRGxjdEpNOEd1VnNDTk84Qk05ZkJSX0FQczYxVi1FOUtOX3YxYTd4OW1oeFRBb3hUNnFGWUV4WFM4Z0RraTFB?oc=5&hl=en-GB&gl=GB&ceid=GB:en,https://www.reuters.com,Reuters
"From Courtrooms to Crisis Lines, Chinese Officials Embrace DeepSeek - The New York Times","From Courtrooms to Crisis Lines, Chinese Officials Embrace DeepSeek  The New York Times","Tue, 18 Mar 2025 07:00:00 GMT",https://news.google.com/rss/articles/CBMif0FVX3lxTE9ZUnhYZUw5bXkyUDExcDZXSkkzRlVIdHBBSXdWQUFZeXY4alpPci10UzdZcV9JdWg4MGo3aTR2Z3k0cy1TWHBUcjMxbGZ1X2N3ZURoRGlBSjR6d09OcVU5N1JnTENqUDdpQ3QzS1ZSY3lqQ3NoaGRCRjBVbXZkS1E?oc=5&hl=en-GB&gl=GB&ceid=GB:en,https://www.nytimes.com,The New York Times
DeepSeek - A Wake-Up Call For US Higher Education - Forbes,DeepSeek - A Wake-Up Call For US Higher Education  Forbes,"Wed, 12 Mar 2025 07:00:00 GMT",https://news.google.com/rss/articles/CBMiowFBVV95cUxPLXpGUDliWWJCenJVWVlyQmR6Z0E3RWFZS3BZbHBrekl6cFQwdDdULWF5cnVicmUzWkE2WjNXbDZlOHFaMWdQWmdvQlhZZVEwY2tDZ3NqNmpncUUyT2Z2RGpNXzNlR1JsNVRVc01jVU9xVU9TRDd4SVdEd2Rnd01EdlZrYlBJRlFzenNyMlcxUFk2Z3IwS19sU2QyaENEN2VyTC04?oc=5&hl=en-GB&gl=GB&ceid=GB:en,https://www.forbes.com,Forbes
DeepSeek: all the news about the startup that’s shaking up AI stocks - The Verge,DeepSeek: all the news about the startup that’s shaking up AI stocks  The Verge,"Fri, 14 Mar 2025 07:00:00 GMT",https://news.google.com/rss/articles/CBMic0FVX3lxTE14cHhLLUxNUTBCOG56VDdwZ3FWaUZ5VFI0N2ljb3ZuZDN3NHZ6RWNmMDkwUkdYZzdIaTFZTDJXa1Q1Q29obk82aGh6YVlMODhEXzd3Q1UtREhGUm51UjFDOWxpdkhZOGFzSTh6a1V5emprMWs?oc=5&hl=en-GB&gl=GB&ceid=GB:en,https://www.theverge.com,The Verge
"DeepSeek and the Evolution of Large Language Models: Cheaper, Better, Faster? - KKR: A Leading Global Investment Firm","DeepSeek and the Evolution of Large Language Models: Cheaper, Better, Faster?  KKR: A Leading Global Investment Firm","Tue, 18 Mar 2025 14:16:11 GMT",https://news.google.com/rss/articles/CBMia0FVX3lxTE5odHR1MzVzUENaYkFfUlJodkNHekdSajZkNGczYXFKN0FfWG4xcXlLNUluM0lxVGJfNE03NU11OW41MTg2aVdBcVVOTjhQOENIOEg2TFYzNHpwR3B5UUtEWmVEakUycHNzWmhv?oc=5&hl=en-GB&gl=GB&ceid=GB:en,https://www.kkr.com,KKR: A Leading Global Investment Firm
Exclusive | U.S. Likely to Ban Chinese App DeepSeek From Government Devices - WSJ,Exclusive | U.S. Likely to Ban Chinese App DeepSeek From Government Devices  WSJ,"Fri, 07 Mar 2025 08:00:00 GMT",https://news.google.com/rss/articles/CBMinAFBVV95cUxQMjI5MEVpX3NsT01QUHhGcFRxbTh3TGcwWkp3Z3dYWVhrazlhMTFfdW1kdmxfUVpSaU5sX1E0UW5xZ3NBUlRWUXQ5QmxyRmEzQnhoNmdKVzFLTDFfUlpXb1JDSm5xeF9qMmFUMG53enYtUU8xZkxyMHhfRjljT1NCbHVXemdZRDAzMFJHeE9XRDhlc01rRUxpSnBRQk8?oc=5&hl=en-GB&gl=GB&ceid=GB:en,https://www.wsj.com,WSJ
