title,description,published date,url,publisher/href,publisher/title
DeepSeek AI excitement spills over to Hong Kong's IPO market - CNBC,DeepSeek AI excitement spills over to Hong Kong's IPO market  CNBC,"Thu, 03 Apr 2025 03:01:00 GMT",https://news.google.com/rss/articles/CBMinAFBVV95cUxPVi12QUlYbDJqSzVDdnAwS2FZMFpTSGM1U2VJTGN2Z1lnVE1iRnhaZlc3WGlfZDNlWVJNSktBUl9xdjVxeWhXczE1QjVNUzdYaHpUSF83eENTMWpjYmFzLXlrTVNKZk56cUo5dEQyZ3ZCTFhCVFVNQXhXVGVHc1cyeEF0c2lvSlJRZWlkSXVQeGdEeEhxOUFDSmhQZVTSAaIBQVVfeXFMUERyaXNRUE1QR2V0OFh3TlJJSnZOUkUwODRaaDg4ZG5ZZ2pUbGhpQ1hvVU5RYWl2MmFsekxJei00Sm9KQjdZbzFnQkJWUE5jRmsyV253OFluZkg4dmFsbWg2cllELUg5cWx5WVBtYWhVMWpNMjRxQzkydmxZRC1OUHJxYjExYjJieTlVbk41akx3UmxfWjNQcURydDlQb1I5UWV3?oc=5&hl=en-GB&gl=GB&ceid=GB:en,https://www.cnbc.com,CNBC
"America's 'DeepSeek Moment' Has Arrived, Peter Thiel-Backed Nonprofit Says - Decrypt","America's 'DeepSeek Moment' Has Arrived, Peter Thiel-Backed Nonprofit Says  Decrypt","Wed, 02 Apr 2025 16:01:02 GMT",https://news.google.com/rss/articles/CBMifkFVX3lxTFAxRVFBTDh2YzBIRFRkaVNlUXVYZFVuYW9LZFBDU1FhdzhjcFhFaF9xeS1qeTRORzl0VVpKWXpHLWNPLVJLaDlmQmYwbHNuekdRM3UwcjVKeVVpSDhUUzBTZy15Q2pIWDlCYnl1X3VsdWNKUEJoYnMta1pPdm5nZ9IBhgFBVV95cUxPZmVMcDdiZEZyVzhXU0NtUk5Kem9rT21Mb3NhYktsY1Vvai1FR05RdTVzcHBBSEIxaGprZl9VLWIzd2VKQVpON3dOMWFLUlAzM19nWkxTdVF0cGwxZ0RwaDdFcnJ1ZDlHWTU2ejBoNHplTWdTVWRQWThsXzRjcFVYcXdZNm9KUQ?oc=5&hl=en-GB&gl=GB&ceid=GB:en,https://decrypt.co,Decrypt
Microsoft CEO Satya Nadella to employees in Town Hall: Best thing about China's Deepseek is ... - Times of India,Microsoft CEO Satya Nadella to employees in Town Hall: Best thing about China's Deepseek is ...  Times of India,"Wed, 02 Apr 2025 12:19:00 GMT",https://news.google.com/rss/articles/CBMigwJBVV95cUxQdlEwLXkyRXRRam9vMXNqMmU3Q3hQVHoyX3V4cnNidkZrSDluclRCbHBqLUpfb1VOdmtzS0ViWHFjYkwwRW1WRjVaQWZrNEMzbVU3b3poVi1JVHNDVnJETmVfWW5EUnBEd1lvNzRmdkp1VFc4aGVJMF93M3h3eE5IdDhYWWRwWDJ1eFVpN21LMS1mazMtRzRNVEJYWnF0ZFBKendwUlhCdWtMWnVoNEotQmdEYUpQVm5UWGRXQnRnOENjbUswd0tKc1VEcm5OaVZOS3BTQlZFLWlybllSRldLYzY1NllWX0tGdk9pSGFNM2J5TmRTZTVxZmM2Q1Roc3o4U0Q00gGIAkFVX3lxTE9xd2hJbTN0SDZ5VjJRcE5pb3l6VXRJY2lackxMaXJfZXpudjZONXVyeGVCYnZJcUQ1dHFNR0hac2pWM3BkSmpqUXJHMzFKcHFEWkFNOUtIUV9Hcy15aThLdVZsU2Z1c3BVRnpPRHRNTFRnUWtUWXNiSng0S08tM0FqUTFOV0xTY2I4eXA1d2xzRVVqcHRmbndfaExuLVlJeFJMNlc5SFc4V2JUR2dKei1YdHN0TEMydkwyRS1DY1NEM2JqVC1Oc2x1ZGI2MjdSa2szVjl5MFBHeXpCUFBXYkJPTXgybUJfQm91WnYzdDVGZXJXMWtpVkV2eUI1c0MzbHYzbkdWWmZFcg?oc=5&hl=en-GB&gl=GB&ceid=GB:en,https://timesofindia.indiatimes.com,Times of India
What DeepSeek Can Teach Us About Resourcefulness - Harvard Business Review,What DeepSeek Can Teach Us About Resourcefulness  Harvard Business Review,"Thu, 03 Apr 2025 12:08:51 GMT",https://news.google.com/rss/articles/CBMifEFVX3lxTE9wTWcydTF6cmdncTdrQS1Na1N1aVdnRlFoa1k2QXRuVEJjRUxNRFZQZ050WmVkcHdBRmtabkQxcUZYaUNyaVotT1IwbGdUTnBxcjZQcndCLVFReGVscGhEczJKVHBsMU9tZnJlUHZyMDRrRzI4bDBKT3NqSy0?oc=5&hl=en-GB&gl=GB&ceid=GB:en,https://hbr.org,Harvard Business Review
I tested DeepSeek vs Gemini 2.5 with 9 prompts — here's the winner - Tom's Guide,I tested DeepSeek vs Gemini 2.5 with 9 prompts — here's the winner  Tom's Guide,"Tue, 01 Apr 2025 04:30:30 GMT",https://news.google.com/rss/articles/CBMi5gFBVV95cUxQdnE1UXlmYlJHUXFiYTllMWZZbW5FN0pQX1Z1Z3dmcmFNSWxRS0t3OFRBdnJ1UXFNYTFOMTB4NW9hOXM1Y1p3M0xOaUFlVjlVNmhiT1BWVVhjQlZmaDBJcXZrS0dNWl9sLWlRdWJteFlSdHpDZjhEX1lKbmlHYXRUc0JBdGpOdWl5SnQxWlB6eHU0NmIxOEtzd3BrRWVJM0IzaEExejhfS09ER0NXRjBDYkFXMGlnNGlOTkRkMlk3amk4YXlvM3hQdk1Ta3B1UnFIWUpoQ0lBdUpPY1h2NnlSVUVGR0Jhdw?oc=5&hl=en-GB&gl=GB&ceid=GB:en,https://www.tomsguide.com,Tom's Guide
Breakingviews - China's love of open-source AI may shut down fast - Reuters,Breakingviews - China's love of open-source AI may shut down fast  Reuters,"Wed, 02 Apr 2025 11:59:51 GMT",https://news.google.com/rss/articles/CBMimwFBVV95cUxOb3BaQ0lhRWd4NktLelhJdlU5Nmhsa19Md1pxMXg2a2J3akNvTTB3SFR4bkFxYWZ3LXFNRkJRMG5Qb0taaHpwdTZHZzctVlFjZ0o5bzg1djhleE9sNm1rVXZWeVBRZlNSWlhERGs4R3lhbnpPZE1iRy05M0dCVDZpQmY3b19GMGtmblFRMVhDSEx1WTBQbE1sMEFtMA?oc=5&hl=en-GB&gl=GB&ceid=GB:en,https://www.reuters.com,Reuters
"Is DeepSeek Just The Beginning? How Russia, China Alliance Could Threaten U.S. Artificial Intelligence Leadership - Investor's Business Daily","Is DeepSeek Just The Beginning? How Russia, China Alliance Could Threaten U.S. Artificial Intelligence Leadership  Investor's Business Daily","Thu, 03 Apr 2025 17:32:00 GMT",https://news.google.com/rss/articles/CBMijAFBVV95cUxOYnlBZmc4dHQxT1o2WFVRNEFSb3p5THRNMFE5ZWJYcVgyNG93U0syazEzZGd0dWI3MlNnXzJkSnFoYkhXYkVHSWxCYjJ3ZjcwMlBlVXJNLS1WVnhFS2RseVZwSDlqUDdBRnh6T05jQW5fOUNrcjV4Si1lNzUtc3dydFljc2NRTUp6VW5OVQ?oc=5&hl=en-GB&gl=GB&ceid=GB:en,https://www.investors.com,Investor's Business Daily
OpenAI’s Running Costs Surge 10x as Thiel-Backed Startup Launches US DeepSeek Rival - CCN.com,OpenAI’s Running Costs Surge 10x as Thiel-Backed Startup Launches US DeepSeek Rival  CCN.com,"Thu, 03 Apr 2025 14:23:52 GMT",https://news.google.com/rss/articles/CBMiogFBVV95cUxOMVptQ3BmS3BpcDhyRHdpanNUdDhKTU11MHgtekx6cEFUSG5nNUNrZnlJZDBXVlBCT3lDenFwMHI0YzRLSWtaMjJRYm5LT01LbXVkMVZIYW52Z0FHNEticFVPemNHRk00YjZzbXdmTFVOempTeUw5TDI4U01uSzdPUE9jWlBaRE9QNVd4OG9peDFoTG0zaW5fcWVEYXpISzhOU2c?oc=5&hl=en-GB&gl=GB&ceid=GB:en,https://www.ccn.com,CCN.com
"Alibaba Steps Up AI Game With Qwen 3, Challenging DeepSeek's Low-Cost AI Success - Yahoo Finance","Alibaba Steps Up AI Game With Qwen 3, Challenging DeepSeek's Low-Cost AI Success  Yahoo Finance","Thu, 03 Apr 2025 12:02:14 GMT",https://news.google.com/rss/articles/CBMifEFVX3lxTFBybGZsQUF4TlZVTGFjU2M0a281b245TkhfbXR6Q2x1eE0wZ21qd01ScW1ISzRPTEZqVkNsZi1yQ1lkSWYycU4yVFpLekdJazM1RlYtLWctR2tFbDQ4aGZFamxQd1ZFS1J5ajBkMXFhQVNpOHFMbHRGaWhvUmo?oc=5&hl=en-GB&gl=GB&ceid=GB:en,https://finance.yahoo.com,Yahoo Finance
Bipartisan push needed to protect government devices from China’s DeepSeek - The Hill,Bipartisan push needed to protect government devices from China’s DeepSeek  The Hill,"Mon, 31 Mar 2025 15:30:00 GMT",https://news.google.com/rss/articles/CBMidEFVX3lxTFBjUF92aGdoZ0JNUlpiRE83VEhKWU9qREFvMFVDcElabkQzbEpXTHBydHd4bkhRbHRuQjh0QUlqMjYyTEdWRGJPQ1FRVW0zbTVFYjRhZklKbEFLVTV0TEJFMzNxUW12S25qLWkwRGtjb2RRb1ky0gF6QVVfeXFMTldkRWFxaWxNYjNSM29kVVhJdzdZUlV4ZzV1a2d5VGJMTHNqNzFJOFlqaTNJRlpQbGp3MmRQRHQ1czNTaVR2MWNjQ2ZpRWMzV2I0MkctMHFHRk9QSzVrNmVlb3JqQWpIQUxYdnVMXzNnQ2JIUmVJVDlIR1E?oc=5&hl=en-GB&gl=GB&ceid=GB:en,https://thehill.com,The Hill
